ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000012232.4,179.086025,0.064343246,0.151495309,0.424721047,0.671040039,0.999968843
ENSG00000012660.9,97.70625412,-0.217915838,0.460378344,-0.473340767,0.635970082,0.999968843
ENSG00000012822.11,133.2307112,-0.013765465,0.097186688,-0.141639405,0.88736484,0.999968843
ENSG00000012963.9,75.22513865,0.043146983,0.134954262,0.319715599,0.749183934,0.999968843
ENSG00000012983.7,29.19256628,-0.252681428,0.491721898,-0.513870604,0.607342461,0.999968843
ENSG00000013016.10,266.0240602,0.086767172,0.233778064,0.371151897,0.710524399,0.999968843
ENSG00000013275.3,82.56630759,-0.020026783,0.112394603,-0.178182777,0.858579435,0.999968843
ENSG00000013288.4,55.29503912,0.041189139,0.194110654,0.212194118,0.831955595,0.999968843
ENSG00000013293.4,39.14712623,0.038347112,0.21286386,0.180148531,0.857035963,0.999968843
ENSG00000013297.5,181.2899375,-0.335665298,0.75083322,-0.447057068,0.654833856,0.999968843
ENSG00000013306.11,59.4167154,-0.090947264,0.147807671,-0.61530815,0.538351236,0.999968843
ENSG00000013364.14,31.3728455,-0.297072002,0.515228033,-0.576583537,0.564220823,0.999968843
ENSG00000013374.11,49.8896046,-0.021978546,0.153677787,-0.143017065,0.886276704,0.999968843
ENSG00000013375.10,20.27241054,-0.10010576,0.33781324,-0.296334624,0.766974546,0.999968843
ENSG00000013392.5,17.74719037,0.066443145,0.243265136,0.273130569,0.784752849,0.999968843
ENSG00000013441.11,34.29946421,-0.299310086,0.443473333,-0.674922399,0.499725069,0.999968843
ENSG00000013503.5,16.78375405,0.043793218,0.237763349,0.184188262,0.853865768,0.999968843
ENSG00000013523.5,41.94618355,-0.034120956,0.182637586,-0.186823296,0.851799181,0.999968843
ENSG00000013561.13,73.10788319,0.007228014,0.125242413,0.057712192,0.953977882,0.999968843
ENSG00000013583.4,32.30322527,-0.139481973,0.285199034,-0.489068883,0.62479293,0.999968843
ENSG00000013619.9,22.59451013,0.066121159,0.288527581,0.229167549,0.818738693,0.999968843
ENSG00000014123.9,37.27165373,-0.18132764,0.426627286,-0.425025885,0.670817805,0.999968843
ENSG00000014138.4,12.20874274,-0.018161219,0.268757062,-0.067574853,0.946124074,0.999968843
ENSG00000014164.6,23.94695287,0.045073456,0.21272016,0.211890852,0.832192188,0.999968843
ENSG00000014216.11,104.0107626,0.048983843,0.250201851,0.195777302,0.844784477,0.999968843
ENSG00000014641.13,491.3997324,0.055333744,0.206560312,0.267881779,0.788790319,0.999968843
ENSG00000014824.8,148.5345276,0.035927243,0.108981857,0.329662604,0.741654913,0.999968843
ENSG00000014919.8,36.81450199,-0.022610721,0.16087162,-0.140551333,0.888224397,0.999968843
ENSG00000015153.10,39.09620109,0.044651966,0.174331157,0.256133019,0.797848127,0.999968843
ENSG00000015171.14,163.3021608,-0.040653987,0.165436767,-0.245737318,0.805885582,0.999968843
ENSG00000015475.14,54.16609341,0.021540852,0.163490422,0.131756047,0.895177253,0.999968843
ENSG00000015479.13,440.0306692,0.019008327,0.08539832,0.222584315,0.823859045,0.999968843
ENSG00000015532.5,21.56873168,-0.005449568,0.229662489,-0.023728592,0.981069099,0.999968843
ENSG00000015592.12,232.6662062,-0.083886621,0.242321614,-0.346178863,0.729208299,0.999968843
ENSG00000015676.12,358.3416826,0.068703693,0.169951041,0.404255793,0.68602463,0.999968843
ENSG00000016391.5,13.84216452,-0.076983391,0.278369201,-0.276551396,0.78212459,0.999968843
ENSG00000016864.12,39.42522641,-0.037641502,0.16558475,-0.227324689,0.820171276,0.999968843
ENSG00000017260.14,162.630355,-0.004654883,0.109141452,-0.042650002,0.965980536,0.999968843
ENSG00000017373.11,218.599428,-0.098631844,0.280318274,-0.351856632,0.724945784,0.999968843
ENSG00000017483.10,29.71255363,-0.123590162,0.272108876,-0.454193792,0.649689351,0.999968843
ENSG00000017797.7,87.28623014,0.033216124,0.134088178,0.247718514,0.804352206,0.999968843
ENSG00000018189.7,253.8800805,-0.003667772,0.154062608,-0.023807024,0.981006538,0.999968843
ENSG00000018236.10,385.0094443,0.057921582,0.154993329,0.373703712,0.708624763,0.999968843
ENSG00000018408.10,15.62508644,-0.229484588,0.380242287,-0.603522005,0.546161481,0.999968843
ENSG00000018510.8,45.91328949,-0.06322867,0.273824156,-0.23090976,0.817384908,0.999968843
ENSG00000018610.8,11.50063975,-0.012702605,0.27431244,-0.046307068,0.963065506,0.999968843
ENSG00000018625.10,575.5955859,-0.046133391,0.210812658,-0.218835963,0.826777832,0.999968843
ENSG00000019144.12,134.5915433,-0.322504429,0.639085943,-0.504633896,0.613815998,0.999968843
ENSG00000019485.8,23.04368593,0.10419525,0.424467038,0.245473124,0.806090115,0.999968843
ENSG00000019505.3,248.3179527,0.113035183,0.275793764,0.40985402,0.681913036,0.999968843
ENSG00000019582.10,124.9875181,-0.413355542,0.512568917,-0.806438955,0.419989793,0.999968843
ENSG00000019995.6,80.08621711,0.047805116,0.128236631,0.372788302,0.70930601,0.999968843
ENSG00000020129.11,848.0529389,0.085480968,0.237317266,0.360197005,0.718699814,0.999968843
ENSG00000020181.13,17.3052452,-0.146308372,0.403399826,-0.362688237,0.716837788,0.999968843
ENSG00000020256.15,23.62091496,0.005360875,0.214031621,0.025047117,0.980017381,0.999968843
ENSG00000020577.9,47.52762726,-0.057375877,0.195423131,-0.293598189,0.76906496,0.999968843
ENSG00000021300.9,509.8827271,-0.310552815,0.499545984,-0.621670127,0.534158799,0.999968843
ENSG00000021355.8,10.4711544,-0.288742712,0.468139488,-0.616787772,0.537374719,0.999968843
ENSG00000021574.7,45.62504724,-0.096644247,0.297448199,-0.324911187,0.74524829,0.999968843
ENSG00000021645.13,183.8331459,0.092191961,0.243667049,0.378352188,0.705168982,0.999968843
ENSG00000021762.15,22.70787591,0.002273581,0.258490477,0.008795609,0.99298221,0.999968843
ENSG00000021776.6,24.93994486,-0.022230364,0.193520925,-0.114873178,0.908545645,0.999968843
ENSG00000022267.12,166.0582102,0.032567696,0.161840651,0.201233101,0.84051631,0.999968843
ENSG00000022277.8,103.4495104,-0.058794943,0.141276807,-0.4161684,0.677286781,0.999968843
ENSG00000022355.10,312.7008427,0.098094491,0.267522511,0.366677519,0.713859577,0.999968843
ENSG00000022567.5,75.36162155,0.089885215,0.350968465,0.256106244,0.797868801,0.999968843
ENSG00000022840.11,200.4291594,0.011493007,0.076595768,0.15004755,0.8807271,0.999968843
ENSG00000022976.11,27.89512371,0.042222705,0.180739978,0.233610216,0.815287596,0.999968843
ENSG00000023041.7,28.4716942,-0.025938714,0.17958271,-0.144438815,0.885153968,0.999968843
ENSG00000023171.10,233.3778543,0.110536856,0.29759841,0.371429591,0.710317589,0.999968843
ENSG00000023191.12,111.9251782,-0.164234373,0.316697405,-0.518584525,0.604050503,0.999968843
ENSG00000023228.8,129.1052761,0.029670995,0.127024531,0.233584761,0.815307359,0.999968843
ENSG00000023287.8,171.6212059,0.054542551,0.232535046,0.23455626,0.814553162,0.999968843
ENSG00000023318.7,28.41631151,-0.002667895,0.182534298,-0.014615856,0.98833865,0.999968843
ENSG00000023330.10,77.18449747,0.022361248,0.152241279,0.146880321,0.883226485,0.999968843
ENSG00000023516.7,289.4143471,0.054126477,0.129285146,0.418659676,0.675464869,0.999968843
ENSG00000023572.4,14.07921537,-0.001180511,0.26972916,-0.004376652,0.996507948,0.999968843
